time,alt,vz,vx,vy,az,pre,servo,ax,ay,axr,ayr,azr,gxr,gyr,gzr,target,altr,baro,temp,state,samples
1056,43.902054,57.373177,17.469063,15.336144,20.077845,0.0,0.0,70.21395,40.96649,6.15041,45.330536,73.54626,-0.4048005,3.9968722,-11.35785,0.0,44.08136,100996.34,36.39,2,44
1067,44.44158,57.596104,18.255983,15.737654,20.770693,0.0,0.0,72.61356,32.726006,5.5827904,43.64923,73.093605,-0.15765914,3.6069853,-12.245214,0.0,44.08136,100996.34,36.39,2,44
1078,45.02077,57.828415,19.064583,16.052135,22.302282,0.0,0.0,72.916626,24.510689,4.684658,41.23505,72.29606,0.10865697,3.2117724,-12.934441,0.0,44.710052,100989.33,36.38,2,44
1089,45.562626,58.082085,19.881187,16.282162,25.040194,0.0,0.0,72.24005,16.84937,3.9086719,38.69154,72.14517,0.37710363,2.8772793,-13.333915,0.0,45.192577,100983.94,36.38,2,44
1101,46.08262,58.37007,20.679132,16.432188,26.617025,0.0,0.0,72.17082,10.344395,2.6728418,38.555023,71.75718,0.721184,2.5406556,-13.2945,0.0,45.702007,100978.24,36.37,2,44
1112,46.552177,58.692524,21.43752,16.508904,30.024359,0.0,0.0,67.69194,4.2842283,2.0692968,34.696648,70.56446,0.89588743,2.4213462,-12.79063,0.0,46.075172,100974.08,36.36,2,44
1123,46.94708,59.05,22.154057,16.523233,34.65125,0.0,0.0,61.859352,-0.14103985,2.076482,29.724588,70.1118,1.0247844,2.364887,-11.953333,0.0,46.33061,100971.23,36.36,2,44
1134,47.273575,59.446198,22.824158,16.481476,38.079937,0.0,0.0,57.536392,-5.2514668,3.5206788,27.798992,69.616035,1.1132014,2.3297334,-10.970094,0.0,46.52778,100969.05,36.35,2,44
1144,47.53367,59.87619,23.421808,16.40294,40.822094,0.0,0.0,54.346695,-9.062435,4.1242237,27.36789,69.52263,1.2101405,2.2700787,-10.094446,0.0,46.658333,100967.58,36.35,2,43
1155,47.752117,60.357468,23.973057,16.297806,45.198215,0.0,0.0,47.91022,-10.858855,5.726492,23.624474,69.6304,1.4263891,2.1156151,-9.321064,0.0,46.8044,100965.92,36.34,2,44
1167,47.922657,60.876816,24.463463,16.180248,49.086494,0.0,0.0,40.496178,-9.142593,6.236631,17.919537,69.51544,1.5861788,1.9558256,-9.119729,0.0,46.81424,100965.8,36.33,2,44
1178,48.039417,61.439,24.891363,16.069752,52.693443,0.0,0.0,36.094074,-10.113293,7.846084,16.884888,70.46387,1.7289242,1.7651432,-9.08351,0.0,46.83127,100965.64,36.33,2,44
1189,48.12111,62.044548,25.260168,15.985086,56.82436,0.0,0.0,31.547932,-7.02267,7.9179344,13.213323,72.43976,1.8311896,1.5563514,-9.138904,0.0,46.841106,100965.484,36.32,2,44
1200,48.18042,62.696663,25.580545,15.934815,61.029972,0.0,0.0,27.25095,-3.3762465,8.59333,9.714199,74.86113,1.8961707,1.1973573,-9.278454,0.0,46.91489,100964.69,36.32,2,44
1210,48.245453,63.377316,25.857729,15.926431,64.26785,0.0,0.0,23.862343,0.89093494,8.974138,6.595884,77.03101,1.8706044,0.94275904,-9.259278,0.0,46.91489,100964.69,36.32,2,43
1221,48.336002,64.0572,26.09036,15.957674,57.305103,0.0,0.0,17.51361,3.838993,9.412427,3.9014869,68.7179,1.8034927,0.67218184,-9.064335,0.0,47.043907,100963.19,36.31,2,44
1232,48.461666,64.569336,26.232502,16.011557,34.0244,0.0,0.0,7.6895247,4.681181,8.478369,0.9196875,43.929447,1.71188,0.386691,-8.688297,0.0,47.24255,100961.016,36.31,2,44
1244,48.626488,64.85207,26.274387,16.067492,18.02593,0.0,0.0,0.9646282,5.322175,8.543035,-1.4298266,27.00145,1.5968314,0.08735169,-8.153534,0.0,47.490734,100958.195,36.3,2,44
1255,48.821785,64.98225,26.260515,16.140295,5.9936004,0.0,0.0,-1.6772552,8.170501,6.7755103,-5.4247193,15.620317,1.4072144,-0.386691,-7.1564465,0.0,47.746124,100955.34,36.3,2,44
1266,49.050976,65.02955,26.239964,16.225245,1.5142922,0.0,0.0,-0.7709069,7.94878,4.8570995,-5.3600535,11.819422,1.2559468,-0.69987875,-6.4203486,0.0,48.062386,100951.83,36.29,2,44
1277,49.307457,65.02796,26.225557,16.321442,-2.788228,0.0,0.0,0.6002116,10.013716,2.794988,-7.95386,8.880733,1.1291803,-0.96619487,-5.707687,0.0,48.374516,100948.336,36.29,2,44
1287,49.572918,64.98804,26.230307,16.431227,-4.8932476,0.0,0.0,1.421432,9.150495,1.7531543,-7.486831,7.1275783,1.0439591,-1.1781825,-4.9875684,0.0,48.690746,100944.81,36.28,2,43
1299,49.85666,64.91579,26.25361,16.545956,-7.9633255,0.0,0.0,2.5230963,11.441985,0.68976563,-10.533296,5.4103494,0.9321064,-1.320928,-4.2994075,0.0,49.00854,100941.3,36.28,2,44
1310,50.154484,64.80612,26.293673,16.66565,-11.395357,0.0,0.0,4.142678,10.610629,-1.587898,-11.02188,2.8740234,0.773382,-1.3646038,-3.4706316,0.0,49.38149,100937.125,36.27,2,44
1321,50.471878,64.66564,26.344612,16.780134,-14.054652,0.0,0.0,5.336464,10.7446375,-3.046465,-12.30082,1.1639795,0.67963874,-1.2857742,-3.0402648,0.0,49.756023,100932.93,36.27,2,44
1332,50.813972,64.49877,26.40607,16.893085,-16.26797,0.0,0.0,5.5187016,10.425142,-3.6284547,-12.933105,-0.64665526,0.57311225,-1.1462245,-2.711098,0.0,50.253773,100927.36,36.26,2,44
1342,51.18448,64.320305,26.468382,16.987413,-17.356932,0.0,0.0,6.2308464,8.357173,-4.9864306,-11.740386,-1.7100439,0.42290998,-0.9672601,-2.4564998,0.0,50.74746,100921.84,36.26,2,43
1353,51.60371,64.12213,26.535244,17.081396,-18.22118,0.0,0.0,5.6707296,8.040484,-4.6128078,-11.790681,-2.694397,0.2609898,-0.74781567,-2.2786007,0.0,50.74746,100921.84,36.26,2,44
1365,52.017925,63.919643,26.597406,17.160637,-18.54286,0.0,0.0,5.345398,6.8102818,-4.663103,-10.863809,-3.3841627,-0.004261058,-0.37603834,-2.0730047,0.0,51.17305,100917.14,36.26,2,44
1376,52.468166,63.71463,26.64824,17.229433,-18.786514,0.0,0.0,4.529831,5.508719,-4.3613305,-9.699829,-4.2822948,-0.18642128,-0.12357068,-1.9313245,0.0,51.727486,100910.92,36.25,2,45
1386,52.892628,63.515354,26.68556,17.284723,-18.26512,0.0,0.0,2.8493507,4.9210095,-2.8452833,-8.55022,-4.756509,-0.34940675,0.10439592,-1.7757958,0.0,52.15306,100906.2,36.25,2,44
1398,53.348347,63.314587,26.710562,17.328257,-17.806505,0.0,0.0,1.0054305,3.8759012,-1.465752,-6.9120264,-5.4821997,-0.48469532,0.2876214,-1.6053536,0.0,52.70915,100900.03,36.25,2,45
1408,53.83501,63.119156,26.719057,17.355696,-17.260168,0.0,0.0,-0.6706822,2.0525413,-0.6251001,-4.5696974,-6.236631,-0.5944176,0.4250405,-1.4157364,0.0,53.32593,100893.14,36.24,2,44
1420,54.33841,62.927902,26.709185,17.37276,-16.842407,0.0,0.0,-1.7462654,0.82751334,-0.100590825,-2.9530592,-6.6677346,-0.6956177,0.5539375,-1.107875,0.0,53.882,100886.92,36.24,2,44
